Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Accuracy,BI,AUC
ROCKET,250,max,poly,10000,0.45399999999999996,0.354,0.818
ROCKET,250,max + ppv,poly,10000,0.45399999999999996,0.354,0.8170000000000001
ROCKET,250,ppv,poly,10000,0.605,0.528,0.878
ROCKET,250,max,rbf,100,0.498,0.40299999999999997,0.847
ROCKET,250,max + ppv,rbf,100,0.498,0.40299999999999997,0.847
ROCKET,250,ppv,rbf,100,0.612,0.536,0.8759999999999999
ROCKET,250,max,rbf,1000,0.498,0.40299999999999997,0.847
ROCKET,250,max + ppv,rbf,1000,0.498,0.40299999999999997,0.846
ROCKET,250,ppv,rbf,1000,0.612,0.536,0.878
ROCKET,250,max,rbf,10000,0.498,0.40299999999999997,0.847
ROCKET,250,max + ppv,rbf,10000,0.498,0.40299999999999997,0.848
ROCKET,250,ppv,rbf,10000,0.612,0.536,0.879
ROCKET,250,max,sigmoid,100,0.19399999999999998,0.057,0.546
ROCKET,250,max + ppv,sigmoid,100,0.19399999999999998,0.057,0.5479999999999999
ROCKET,250,ppv,sigmoid,100,0.154,0.0,0.32
ROCKET,250,max,sigmoid,1000,0.162,0.027000000000000003,0.56
ROCKET,250,max + ppv,sigmoid,1000,0.162,0.027000000000000003,0.56
ROCKET,250,ppv,sigmoid,1000,0.154,0.0,0.33799999999999997
ROCKET,250,max,sigmoid,10000,0.16,0.025,0.557
ROCKET,250,max + ppv,sigmoid,10000,0.16,0.025,0.561
ROCKET,250,ppv,sigmoid,10000,0.154,0.0,0.303
ROCKET,500,max,linear,100,0.486,0.389,0.85
ROCKET,500,max + ppv,linear,100,0.486,0.389,0.852
ROCKET,500,ppv,linear,100,0.627,0.5539999999999999,0.89
ROCKET,500,max,linear,1000,0.486,0.389,0.852
ROCKET,500,max + ppv,linear,1000,0.486,0.389,0.851
ROCKET,500,ppv,linear,1000,0.627,0.5539999999999999,0.892
ROCKET,500,max,linear,10000,0.486,0.389,0.851
ROCKET,500,max + ppv,linear,10000,0.486,0.389,0.851
ROCKET,500,ppv,linear,10000,0.627,0.5539999999999999,0.892
ROCKET,500,max,poly,100,0.45799999999999996,0.358,0.825
ROCKET,500,max + ppv,poly,100,0.45799999999999996,0.358,0.826
ROCKET,500,ppv,poly,100,0.626,0.5529999999999999,0.8909999999999999
ROCKET,500,max,poly,1000,0.45799999999999996,0.358,0.825
ROCKET,500,max + ppv,poly,1000,0.45799999999999996,0.358,0.8240000000000001
ROCKET,500,ppv,poly,1000,0.626,0.5529999999999999,0.89
ROCKET,500,max,poly,10000,0.45799999999999996,0.358,0.825
ROCKET,500,max + ppv,poly,10000,0.45799999999999996,0.358,0.825
ROCKET,500,ppv,poly,10000,0.626,0.5529999999999999,0.8909999999999999
ROCKET,500,max,rbf,100,0.506,0.41100000000000003,0.856
ROCKET,500,max + ppv,rbf,100,0.506,0.41100000000000003,0.855
ROCKET,500,ppv,rbf,100,0.631,0.5579999999999999,0.889
ROCKET,500,max,rbf,1000,0.506,0.41100000000000003,0.856
ROCKET,500,max + ppv,rbf,1000,0.506,0.41100000000000003,0.858
ROCKET,500,ppv,rbf,1000,0.631,0.5579999999999999,0.889
ROCKET,500,max,rbf,10000,0.506,0.41100000000000003,0.856
ROCKET,500,max + ppv,rbf,10000,0.506,0.41100000000000003,0.856
ROCKET,500,ppv,rbf,10000,0.631,0.5579999999999999,0.889
ROCKET,500,max,sigmoid,100,0.19399999999999998,0.055999999999999994,0.537
ROCKET,500,max + ppv,sigmoid,100,0.19399999999999998,0.055999999999999994,0.5429999999999999
ROCKET,500,ppv,sigmoid,100,0.154,0.0,0.342
ROCKET,500,max,sigmoid,1000,0.158,0.022000000000000002,0.556
ROCKET,500,max + ppv,sigmoid,1000,0.158,0.022000000000000002,0.555
ROCKET,500,ppv,sigmoid,1000,0.154,0.0,0.336
ROCKET,500,max,sigmoid,10000,0.157,0.021,0.5529999999999999
ROCKET,500,max + ppv,sigmoid,10000,0.157,0.021,0.5539999999999999
ROCKET,500,ppv,sigmoid,10000,0.154,0.0,0.304
